Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
Tamil Nadu,1,396,Shri M. K. Alagiri,MADURAI,MADURAI,19.03,19.03,0,1.12,0,2,2013-2014,2/7/14,2.5,,,2009,2014,15
Tamil Nadu,1,397,Shri K. Murugesan Anandan,VILUPPURAM(SC),VILLUPURAM,19.03,16.53,2.5,-2.44,0.01,1,2013-2014,27-11-2013,2.5,2 / 2013-2014,,2009,2014,15
Tamil Nadu,1,398,Shri M. Krishnasswamy,ARANI,TIRUVANNAMALAI,21.53,19.03,2.5,0.81,0,2,2013-2014,21-02-2014,2.5,3 / 2013-2014,,2009,2014,15
Tamil Nadu,1,399,Shri Manicka Tagore,VIRUDHUNAGAR,VIRUDHUNAGAR,19.03,19.03,0,1.53,0,2,2013-2014,24-11-2014,2.5,,,2009,2014,15
Tamil Nadu,1,400,Shri O. S. Manian,MAYILADUTHURAI,NAGAPATTINAM,21.53,19.03,2.5,0.03,0,2,2013-2014,10/10/18,2.5,3 / 2013-2014,,2009,2014,15
Tamil Nadu,1,401,Shri P. Kumar,TIRUCHIRAPPALLI,TIRUCHIRAPPALLI,21.53,19.03,2.5,1.23,0,2,2013-2014,2/12/15,2.5,3 / 2013-2014,,2009,2014,15
Tamil Nadu,1,402,Shri K. Sugumar,POLLACHI,COIMBATORE,21.53,19.03,2.5,1.32,0,2,2013-2014,28-07-2014,2.5,3 / 2013-2014,,2009,2014,15
Tamil Nadu,1,403,Shri R. Thamaraiselvan,DHARAMAPURI,DHARMAPURI,21.53,16.53,5,-1.86,-0.67,1,2013-2014,28-11-2013,2.5,"2 / 2013-2014,3 / 2013-2014,3 / 2011-2012",,2009,2014,15
Tamil Nadu,1,404,Shri Palaniappan Chidambaram,SIVAGANGA,SIVAGANGA,19.03,19.03,0,0.56,0,2,2013-2014,5/2/14,2.5,,,2009,2014,15
Tamil Nadu,1,405,Shri N.S.V. Chitthan,DINDIGUL,DINDIGUL,21.53,19.03,2.5,-0.17,0,2,2013-2014,16-07-2014,2.5,3 / 2013-2014,,2009,2014,15
Tamil Nadu,1,406,Shri P. Lingam,TENKASI(SC),TIRUNELVELI,19.03,19.03,0,0.42,0.2,2,2013-2014,10/7/14,2.5,,,2009,2014,15
Tamil Nadu,1,407,Shri Sambandam Keerapalayam Alagiri,CUDDALORE,CUDDALORE,19.03,19.03,0,0.61,2.51,2,2013-2014,20-02-2014,2.5,,,2009,2014,15
Tamil Nadu,1,408,Shri P. R. Natarajan,COIMBATORE,COIMBATORE,21.53,19.03,2.5,1.55,0,2,2013-2014,28-07-2014,2.5,3 / 2013-2014,,2009,2014,15
Tamil Nadu,1,409,Shri S.S. Palanimanickam,THANJAVUR,THANJAVUR,19.03,19.03,0,0.92,0,2,2013-2014,10/6/14,2.5,,,2009,2014,15
Tamil Nadu,1,410,Shri S. Semmalai,SALEM,SALEM,21.53,19.03,2.5,1.36,0,2,2013-2014,7/5/15,2.5,3 / 2013-2014,,2009,2014,15
Tamil Nadu,1,411,Shri S.S. Ramasubbu,TIRUNELVELI,TIRUNELVELI,21.53,19.03,2.5,0.34,0.13,2,2013-2014,8/1/14,2.5,3 / 2013-2014,,2009,2014,15
Tamil Nadu,1,412,Shri S. R. Jeyadurai,THOOTHUKKUDI,TUTICORIN,21.53,19.03,2.5,1.27,0,2,2013-2014,22-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Tamil Nadu,1,413,Shri T. K.S. Elangovan,CHENNAI NORTH,CHENNAI,14.03,11.53,2.5,1.02,0.85,2,2011-2012,8/11/13,2.5,3 / 2013-2014,,2009,2014,15
Tamil Nadu,1,414,Smt. Davidson J. Helen,KANNIYAKUMARI,KANNIYAKUMARI,19.03,19.03,0,0.52,0.58,2,2013-2014,10/2/14,2.5,,,2009,2014,15
Tamil Nadu,1,415,Shri S. Gandhiselvan,NAMAKKAL,NAMAKKAL,21.53,19.03,2.5,0.98,0,2,2013-2014,3/9/14,2.5,3 / 2013-2014,,2009,2014,15
Tamil Nadu,1,416,Shri Viswanathan Perumal,KANCHEEPURAM(SC),KANCHIPURAM,19.03,19.03,0,0.46,2.66,2,2013-2014,11/2/15,2.5,,,2009,2014,15
Tamil Nadu,1,417,Shri Thirumaa Valavan Thol,CHIDAMBARAM(SC),CUDDALORE,19.03,19.03,0,0.69,2.85,2,2013-2014,13-02-2014,2.5,,,2009,2014,15
Tamil Nadu,1,418,Shri Thalikkottai Rajuthevar Baalu,SRIPERUMBUDUR,KANCHIPURAM,16.53,14.03,2.5,1.69,1.69,2,2012-2013,13-06-2014,2.5,3 / 2013-2014,,2009,2014,15
Tripura,1,419,Shri Baju Ban Riyan,TRIPURA EAST(ST),DHALAI DISTRICT,7.5,7.5,0,0.01,0.46,1,2011-2012,12/10/12,2.5,,,2009,2014,15
Tripura,1,420,Shri Khagen Das,TRIPURA WEST,WEST TRIPURA,19,19,0,0.03,0.03,2,2013-2014,19-06-2014,2.5,,,2009,2014,15
Uttar Pradesh,1,421,Dr. Bali ram,LALGANJ (SC),AZAMGARH,19.06,19.06,0,0,4.59,2,2013-2014,11/9/14,2.5,,,2009,2014,15
Uttar Pradesh,1,422,Dr. Murli Manohar Joshi,VARANASI,VARANASI,21.56,19.06,2.5,0,0,2,2013-2014,8/1/14,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,423,Shri Ashok Kumar Rawat,MISRIKH(SC),SITAPUR,21.56,19.06,2.5,0.32,0,2,2013-2014,25-02-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,424,Shri Bhism Shankar Alias Kushal Tiwari,SANT KABIR NAGAR,SANT KABIR NAGAR,21.56,19.06,2.5,3.24,0,2,2013-2014,13-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,425,Dr. Prof. Ram Shankar,AGRA(SC),AGRA,21.56,19.06,2.5,-0.07,0,2,2013-2014,13-02-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,426,Ku. Ratanjeet Pratap Narain Singh,KUSHI NAGAR,KUSHINAGAR (Padrauna),21.56,19.06,2.5,2.71,0,2,2013-2014,29-01-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,427,Shri Ajit Singh,BAGHPAT,BAGHPAT,21.56,19.06,2.5,0.55,0,2,2013-2014,24-02-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,428,Dr. Sanjay Singh,SULTANPUR,SULTANPUR,21.56,19.06,2.5,0.5,0,2,2013-2014,18-05-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,429,Shri Bal Kumar Patel,MIRZAPUR,MIRZAPUR,21.56,19.06,2.5,0.15,0,2,2013-2014,13-02-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,430,Dr. Shafiqur Rahman Barq,SAMBHAL,BHIMNAGAR(Sambhal),21.56,19.06,2.5,0.29,0,2,2013-2014,24-03-2015,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,431,Shri Arvind Kumar Chaudhary,BASTI,BASTI,21.56,19.06,2.5,0.37,0,2,2013-2014,22-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,432,Shri Brijbhushan Sharan Singh,KAISERGANJ,GONDA,21.56,19.06,2.5,0.31,0.31,2,2013-2014,14-02-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,433,Shri Feroze Varun Gandhi,PILIBHIT,PILIBHIT,21.56,19.06,2.5,0.22,0,2,2013-2014,27-11-2013,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,434,Shri Ghansyam Anuragi,JALAUN(SC),JALAUN,21.56,19.06,2.5,0,0,2,2013-2014,2/7/15,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,435,Shri Jagdish Singh Rana,SAHARANPUR,SAHARANPUR,19.06,19.06,0,0.14,0,2,2013-2014,27-12-2013,2.5,,,2009,2014,15
Uttar Pradesh,1,436,Shri Jayant Chaudhary,MATHURA,MATHURA,19.06,19.06,0,0.09,0,2,2013-2014,13-12-2013,2.5,,,2009,2014,15
Uttar Pradesh,1,437,Shri Dara Singh Chauhan,GHOSI,MAU,21.56,19.06,2.5,-0.16,0,2,2013-2014,21-02-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,438,Shri Dharmendra Yadav,BADAUN,BUDAUN,21.56,19.06,2.5,3.25,4.79,2,2013-2014,29-01-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,439,Shri Beni Prasad Verma,GONDA,GONDA,21.56,19.06,2.5,0.42,0,2,2013-2014,13-02-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,440,Shri Dimple Yadav,KANNAUJ,KANNAUJ,19.06,19.06,0,0.64,0.8,2,2013-2014,5/12/14,2.5,,,2009,2014,15
Uttar Pradesh,1,441,Shri Gorakh Nath,BHADOHI,Bhadohi,21.56,19.06,2.5,2.94,4.11,2,2013-2014,16-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,442,Shri Kalyan Singh,ETAH,ETAH,21.56,16.56,5,0.25,0,1,2013-2014,12/6/15,2.5,"2 / 2013-2014,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,443,Shri Dhananjay Singh,JAUNPUR,JAUNPUR,21.56,16.56,5,1.24,0,1,2013-2014,15-10-2013,2.5,"2 / 2013-2014,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,444,Shri Harsh Vardhan,MAHARAJGANJ,MAHRAJGANJ,19.06,19.06,0,2.33,4.39,2,2013-2014,20-04-2015,2.5,,,2009,2014,15
Uttar Pradesh,1,445,Shri Kadir Rana,MUZAFFARNAGAR,MUZAFFARNAGAR,21.56,19.06,2.5,0,0,2,2013-2014,3/1/14,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,446,Shri Kamal Kishor,BAHRAICH(SC),BAHRAICH,19.06,19.06,0,0.41,0,2,2013-2014,20-02-2014,2.5,,,2009,2014,15
Uttar Pradesh,1,447,Shri Kunwar Rewati Raman Singh,ALLAHABAD,ALLAHABAD,19.06,19.06,0,3.14,0,2,2013-2014,18-02-2014,2.5,,,2009,2014,15
Uttar Pradesh,1,448,Shri Devendra Nagpal,AMROHA,JYOTIBA PHOLENAGAR,19.06,19.06,0,0.32,0,2,2013-2014,12/6/14,2.5,,,2009,2014,15
Uttar Pradesh,1,449,Shri Gorakh Prasad Jaiswal,DEORIA,DEORIA,21.56,19.06,2.5,2.81,3.83,2,2013-2014,13-01-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,450,Shri Jagdambika Pal,DOMARIYAGANJ,SIDDHARTH NAGAR,21.56,19.06,2.5,-0.02,0,2,2013-2014,31-01-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,451,Shri Kamlesh Paswan,BANSGAON(SC),GORAKHPUR,21.56,19.06,2.5,0.42,0.92,2,2013-2014,11/12/14,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,452,Shri Kunwar Jitin Prasad,DHAURAHRA,KHERI,21.56,19.06,2.5,0.22,0,2,2013-2014,6/2/14,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,453,Shri Kamlesh Balmiki,BULANDSHAHR(SC),BULANDSHAHR,21.56,19.06,2.5,0.65,0.65,2,2013-2014,24-02-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,454,Shri Kapil Muni Karwariya,PHULPUR,ALLAHABAD,19.06,19.06,0,2.53,0,2,2013-2014,20-02-2014,2.5,,,2009,2014,15
Uttar Pradesh,1,455,Shri Mithlesh Kumar,SHAHJAHANPUR(SC),SHAHJAHANPUR,21.56,19.06,2.5,2.83,4.96,2,2013-2014,13-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,456,Shri Pradeep Kumar Jain (Aditya),JHANSI,JHANSI,21.56,16.56,5,0.65,0,1,2013-2014,16-01-2014,2.5,"2 / 2013-2014,3 / 2013-2014,3 / 2011-2012",,2009,2014,15
Uttar Pradesh,1,457,Shri Mulayam Singh Yadav,MAINPURI,MAINPURI,21.56,19.06,2.5,0.03,3.32,2,2013-2014,5/2/14,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,458,Shri Nirmal Khatri,FAIZABAD,FAIZABAD,21.56,19.06,2.5,0.05,0,2,2013-2014,13-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,459,Shri Lal Ji Tandon,LUCKNOW,LUCKNOW,21.56,19.06,2.5,2.5,4.82,2,2013-2014,18-07-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,460,Shri R. K. Singh Patel,BANDA,BANDA,21.56,19.06,2.5,0.38,0,2,2013-2014,21-04-2015,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,461,Shri Neeraj Shekhar,BALLIA,BALLIA,19.06,19.06,0,1.57,4.95,2,2013-2014,27-02-2014,2.5,,,2009,2014,15
Uttar Pradesh,1,462,Shri Raj Babbar,FIROZABAD,FIROZABAD,21.56,19.06,2.5,0.35,0,2,2013-2014,6/2/14,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,463,Shri Rajnath Singh,GHAZIABAD,GHAZIABAD,21.56,19.06,2.5,2.56,4.98,2,2013-2014,28-02-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,464,Shri Ram kishun,CHANDAULI,CHANDAULI,19.06,19.06,0,0.52,0,2,2013-2014,6/2/14,2.5,,,2009,2014,15
Uttar Pradesh,1,465,Shri Mohammed Azharuddin,MORADABAD,MORADABAD,21.56,19.06,2.5,2.63,0,2,2013-2014,22-10-2013,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,466,Shri Pakauri Lal,ROBERTSGANJ(SC),SONBHADRA,21.56,19.06,2.5,0,0,2,2013-2014,6/2/14,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,467,Shri Praveen Singh Aron,BAREILLY,BAREILLY,21.56,19.06,2.5,2.57,0,2,2013-2014,28-02-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,468,Shri Premdas Katheria,ETAWAH(SC),ETAWAH,21.56,19.06,2.5,0.36,0,2,2013-2014,27-11-2013,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,469,Shri Radhey Mohan Singh,GHAZIPUR,GHAZIPUR,21.56,19.06,2.5,0.4,0,2,2013-2014,6/2/14,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,470,Shri Rahul Gandhi,AMETHI,AMETHI,21.56,19.06,2.5,0.23,0,2,2013-2014,20-01-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,471,Shri Sanjay Singh Chauhan,BIJNOR,BIJNORE,21.56,19.06,2.5,0,0,2,2013-2014,22-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,472,Shri Shailendra Kumar,KAUSHAMBI(SC),KAUSHAMBI,21.56,19.06,2.5,0.32,0,2,2013-2014,14-10-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,473,Shri Rajendra Agrawal,MEERUT,MEERUT,19.06,19.06,0,0.55,0,2,2013-2014,21-02-2014,2.5,,,2009,2014,15
Uttar Pradesh,1,474,Shri Rakesh Pandey,AMBEDKAR NAGAR,AMBEDKARNAGAR,21.56,19.06,2.5,2.86,4.93,2,2013-2014,20-02-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,475,Shri Ramakant Yadav,AZAMGARH,AZAMGARH,19.06,19.06,0,0.27,4.82,2,2013-2014,20-02-2014,2.5,,,2009,2014,15
Uttar Pradesh,1,476,Shri Soraj Tufani,MACHHLISHAHR(SC),JAUNPUR,19.06,19.06,0,0.11,0,2,2013-2014,26-12-2013,2.5,,,2009,2014,15
Uttar Pradesh,1,477,Shri P. L. Punia,BARABANKI(SC),BARABANKI,21.56,19.06,2.5,2.39,0,2,2013-2014,5/2/14,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,478,Shri Rakesh Sachan,FATEHPUR,FATEHPUR,21.56,19.06,2.5,1.24,0,2,2013-2014,21-10-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,479,Shri Ramashankar Rajbhar,SALEMPUR,DEORIA,21.56,19.06,2.5,2.9,4.87,2,2013-2014,22-01-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,480,Shri Surendra Singh Nagar,GAUTAM BUDDHA NAGAR,GAUTAMBUDHNAGAR,21.56,19.06,2.5,2.5,4.99,2,2013-2014,9/6/15,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,481,Shri Salman Khursheed,FARRUKHABAD,FARRUKHABAD,21.56,19.06,2.5,0.48,0,2,2013-2014,14-10-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,482,Shri Shriprakash Jaiswal,KANPUR,KANPUR NAGAR,21.56,19.06,2.5,-0.15,0,2,2013-2014,11/7/14,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,483,Shri Raja Ram Pal,AKBARPUR,KANPUR NAGAR,19.06,19.06,0,-0.01,0,2,2013-2014,11/7/14,2.5,,,2009,2014,15
Uttar Pradesh,1,484,Shri Zafar  Ali Naqvi,KHERI,KHERI,21.56,19.06,2.5,0.04,0,2,2013-2014,6/2/14,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,485,Smt. Maneka Sanjay Gandhi,AONLA,BAREILLY,21.56,19.06,2.5,0.73,2,2,2013-2014,5/6/15,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,486,Shri Vinay Kumar Vinnu Pandey,SHRAWASTI,SHRAWASTI,21.56,19.06,2.5,1.38,0,2,2013-2014,28-02-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,487,Smt. Annu Tandon,UNNAO,UNNAO,21.56,14.06,7.5,0.47,0,2,2012-2013,31-01-2014,2.5,"1 / 2013-2014,2 / 2013-2014,3 / 2013-2014,3 / 2011-2012",,2009,2014,15
Uttar Pradesh,1,488,Smt. Seema Upadhyay,FATEHPUR SIKRI,AGRA,21.56,19.06,2.5,0.53,0,2,2013-2014,28-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,489,Smt. Qaiser Jahan,SITAPUR,SITAPUR,19.06,19.06,0,0.21,0,2,2013-2014,16-12-2013,2.5,,,2009,2014,15
Uttar Pradesh,1,490,Smt. Sarika Devendra Singh Baghel,HATHRAS (SC),MAHAMAYANAGAR,21.56,19.06,2.5,0.28,0.56,2,2013-2014,12/2/14,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,491,Shri Vijay Bahadur Singh,HAMIRPUR,HAMIRPUR,19.06,19.06,0,1.71,0,2,2013-2014,22-09-2014,2.5,,,2009,2014,15
Uttar Pradesh,1,492,Smt. Sushila Saroj,MOHANLALGANJ(SC),LUCKNOW,19.06,19.06,0,2.46,4.51,2,2013-2014,26-12-2013,2.5,,,2009,2014,15
Uttar Pradesh,1,493,Smt. Usha Verma,HARDOI (SC),HARDOI,21.56,19.06,2.5,3.4,4.92,2,2013-2014,31-01-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,494,Smt. Sonia Gandhi,RAE BARELI,RAE BARELI,21.56,19.06,2.5,-0.01,0,2,2013-2014,16-10-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Uttar Pradesh,1,495,Smt. Raj Kumari Chauhan,ALIGARH,ALIGARH,19.06,19.06,0,0.03,0,2,2013-2014,6/12/13,2.5,,,2009,2014,15
Uttar Pradesh,1,496,Smt. Rajkumari Ratna Singh,PRATAPGARH,PRATAPGARH,21.56,19.06,2.5,2.71,0,2,2013-2014,28-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,497,Shri Yashvir Singh,NAGINA(SC),BIJNORE,21.56,19.06,2.5,0.04,0,2,2013-2014,6/2/14,2.5,3 / 2013-2014,,2009,2014,15
Uttar Pradesh,1,498,Shri Yogi Adityanath,GORAKHPUR,GORAKHPUR,19.06,19.06,0,0.4,0.72,2,2013-2014,11/12/14,2.5,,,2009,2014,15
Uttar Pradesh,1,499,Smt. Begum Tabassum Hasan,KAIRANA,SHAMLI,19.06,19.06,0,0.19,0,2,2013-2014,21-02-2014,2.5,,,2009,2014,15
Uttar Pradesh,1,500,Smt. Jaya Prada Nahata,RAMPUR,RAMPUR,21.56,19.06,2.5,0.02,0,2,2013-2014,7/2/14,2.5,3 / 2013-2014,,2009,2014,15
Uttarakhand,1,501,Shri Harish Rawat,HARDWAR,HARIDWAR,19,19,0,0.31,0,2,2013-2014,17-09-2014,2.5,,,2009,2014,15
Uttarakhand,1,502,Shri K.C. Singh Baba,NAINITAL UDHAM SINGH NAG.,UDHAMSINGH NAGAR,19,19,0,0.42,0,2,2013-2014,28-02-2014,2.5,,,2009,2014,15
Uttarakhand,1,503,Shri Pradeep Tamta,ALMORA(SC),ALMORA,19,19,0,0,0,2,2013-2014,27-10-2014,2.5,,,2009,2014,15
Uttarakhand,1,504,Shri Satpal Maharaj,GARHWAL,PAURI GARHWAL,21.5,16.5,5,0.19,4.48,1,2013-2014,5/6/18,2.5,"2 / 2013-2014,3 / 2013-2014",,2009,2014,15
Uttarakhand,1,505,Smt Vijay Bahuguna,TEHRI GARHWAL,TEHRI GARHWAL,11.5,16.5,-5,0.47,1.45,1,2012-2013,12/4/13,2.5,,,2009,2014,15
West Bengal,1,506,Km. Mausam Noor,MALDAHA UTTAR,MALDA,17.64,17.64,0,-1.11,0,1,2013-2014,25-02-2015,2.5,,,2009,2014,15
West Bengal,1,507,Prof. Saugata Roy,DUM DUM,NORTH TWENTY FOUR PARGANAS,22.64,20.14,2.5,-0.02,0,2,2013-2014,29-01-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
West Bengal,1,508,Shri Adhir Ranjan Chowdhury,BAHARAMPUR,MURSHIDABAD,22.64,20.14,2.5,0.63,0,2,2013-2014,13-03-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
West Bengal,1,509,Dr. Kakoli Ghosh Dastidar,BARASAT,NORTH TWENTY FOUR PARGANAS,22.64,20.14,2.5,-0.79,0,2,2013-2014,30-08-2013,2.5,3 / 2013-2014,,2009,2014,15
West Bengal,1,510,Dr. Pulin Bihari Baske,JHARGRAM(ST),PASCHIMI MEDINIPUR,22.64,20.14,2.5,2.07,0,2,2013-2014,10/2/14,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
West Bengal,1,511,Shri Abu Hasem Khan Choudhury,MALDAHA DAKSHIN,MALDA,20.14,17.64,2.5,1.22,-2.5,1,2013-2014,17-02-2016,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
West Bengal,1,512,Shri Anup Kumar Saha,BARDHAMAN PURBA(SC),BURDWAN,20.14,20.14,0,0.36,0,2,2013-2014,28-04-2015,2.5,,,2009,2014,15
West Bengal,1,513,Dr. Ratna De (Nag),HOOGHLY,HOOGHLY,22.64,20.14,2.5,0.21,0,2,2013-2014,13-02-2014,2.5,3 / 2013-2014,,2009,2014,15
West Bengal,1,514,Shri Abdul Mannan Hossain,MURSHIDABAD,MURSHIDABAD,22.64,20.14,2.5,0.24,0,2,2013-2014,18-02-2014,2.5,3 / 2013-2014,,2009,2014,15
West Bengal,1,515,Shri Abhijit Mukherjee,JANGIPUR,MURSHIDABAD,12.5,20.14,-7.64,1.2,0,2,2013-2014,25-05-2015,2.5,,,2009,2014,15
West Bengal,1,516,Shri Basudeb Acharia,BANKURA,BANKURA,22.64,20.14,2.5,-1.31,0,2,2013-2014,26-03-2015,2.5,3 / 2013-2014,,2009,2014,15
West Bengal,1,517,Dr. Ram Chandra Dome,BOLPUR(SC),BIRBHUM,20.14,17.64,2.5,0.79,0,1,2013-2014,22-09-2014,2.5,2 / 2013-2014,,2009,2014,15
West Bengal,1,518,Kum. Subrata Bakshi,KOLKATA DAKSHIN,KOLKATA,22.64,20.14,2.5,1,0,2,2013-2014,21-10-2014,2.5,3 / 2013-2014,,2009,2014,15
West Bengal,1,519,Dr. Tarun Mandal,JOYNAGAR(SC),SOUTH TWENTY FOUR PARGANAS,20.14,20.14,0,1.74,0,2,2013-2014,18-03-2015,2.5,,,2009,2014,15
West Bengal,1,520,Shri Bansa Gopal Choudhary,ASANSOL,BURDWAN,22.64,20.14,2.5,0.45,0,2,2013-2014,28-04-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
West Bengal,1,521,Shri Dinesh Trivedi,BARRACKPUR,NORTH TWENTY FOUR PARGANAS,20.14,20.14,0,-0.99,0,2,2013-2014,11/12/13,2.5,,,2009,2014,15
West Bengal,1,522,Shri Gurudas Dasgupta,GHATAL,PASCHIMI MEDINIPUR,22.64,20.14,2.5,1.43,0,2,2013-2014,27-02-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
West Bengal,1,523,Shri Gobinda Chandra Naskar,BANGAON(SC),NORTH TWENTY FOUR PARGANAS,22.64,20.14,2.5,-0.39,0,2,2013-2014,11/9/13,2.5,3 / 2013-2014,,2009,2014,15
West Bengal,1,524,Shri Jaswant Singh,DARJEELING,DARJEELING,22.64,20.14,2.5,1.69,3.21,2,2013-2014,14-06-2016,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
West Bengal,1,525,Shri Kalyan Banerjee,SREERAMPUR,HOOGHLY,22.64,20.14,2.5,-0.23,0,2,2013-2014,18-02-2014,2.5,3 / 2013-2014,,2009,2014,15
West Bengal,1,526,Shri Kabir Suman,JADAVPUR,SOUTH TWENTY FOUR PARGANAS,22.64,17.64,5,1.24,0,1,2013-2014,11/9/15,2.5,3 / 2013-2014,,2009,2014,15
West Bengal,1,527,Shri Mohan Jatua Choudhury,MATHURAPUR(SC),SOUTH TWENTY FOUR PARGANAS,22.64,20.14,2.5,0.26,0,2,2013-2014,19-02-2014,2.5,3 / 2013-2014,,2009,2014,15
West Bengal,1,528,Shri Mahendra Kumar Roy,JALPAIGURI(SC),JALPAIGURI,25.29,20.14,5.15,2.86,0,2,2013-2014,25-06-2015,2.5,,,2009,2014,15
West Bengal,1,529,Shri Nripendra Nath Roy,COOCHBEHAR(SC),COOCH BEHAR,22.64,20.14,2.5,0.11,0,2,2013-2014,6/2/14,2.5,3 / 2013-2014,,2009,2014,15
