Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
Bihar,1,62,Mr. Uday Singh,PURNEA,PURNEA,21.98,19.48,2.5,1.02,0,2,2013-2014,26-08-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Bihar,1,63, Captain Jai Narayan Prasad Nishad,MUZAFFARPUR,MUZAFFARPUR,21.98,19.48,2.5,1.9,0,2,2013-2014,16-02-2016,2.5,3 / 2013-2014,,2009,2014,15
Bihar,1,64,Dr. Raghuvansh Prasad Singh,VAISHALI,MUZAFFARPUR,21.98,19.48,2.5,1.42,0,2,2013-2014,11/7/14,2.5,3 / 2013-2014,,2009,2014,15
Bihar,1,65,Shri Bhudeo Choudhary,JAMUI(SC),JAMUI,21.98,19.48,2.5,0,0,2,2013-2014,16-12-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Bihar,1,66,Dr. Bhola Singh,NAWADA,NAWADA,19.48,19.48,0,3.78,0,2,2013-2014,16-12-2013,2.5,,,2009,2014,15
Bihar,1,67,Dr. Monazir Hassan,BEGUSARAI,BEGUSARAI,21.98,19.48,2.5,-0.85,0,2,2013-2014,9/7/14,2.5,3 / 2013-2014,,2009,2014,15
Bihar,1,68,Shri Arjun Roy,SITAMARHI,SITAMARHI,21.98,19.48,2.5,3.81,0,2,2013-2014,10/11/15,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Bihar,1,69,Shri Asrarul Haque Mohammad,KISHANGANJ,KISHANGANJ,21.98,16.98,5,-0.42,0,1,2013-2014,27-05-2015,2.5,"2 / 2013-2014,3 / 2013-2014",,2009,2014,15
Bihar,1,70,Shri Hari Manjhi,GAYA (SC),GAYA,21.98,19.48,2.5,2.25,0,2,2013-2014,13-02-2015,2.5,3 / 2013-2014,,2009,2014,15
Bihar,1,71,Shri Dinesh Chandra Yadav,KHAGARIA,KHAGARIA,21.98,19.48,2.5,0.41,0,2,2013-2014,10/11/15,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Bihar,1,72,Shri Jagadanand Singh,BUXAR,BUXAR,21.98,19.48,2.5,1.46,0,2,2013-2014,22-01-2014,2.5,3 / 2013-2014,,2009,2014,15
Bihar,1,73,Shri Kirti (JHA) Azad,DARBHANGA,DARBANGA,19.48,16.98,2.5,1.69,0,1,2013-2014,30-12-2015,2.5,2 / 2013-2014,,2009,2014,15
Bihar,1,74,Shri Kaushalendra Kumar,NALANDA,BIHAR SHARIF/NALANDA,19.48,19.48,0,2.59,0,2,2013-2014,14-02-2014,2.5,,,2009,2014,15
Bihar,1,75,Shri Jagdish Sharma,JAHANABAD,JEHANABAD,19.48,16.98,2.5,0.3,0,1,2013-2014,19-06-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Bihar,1,76,Shri Hukmdev Narayan Yadav,MADHUBANI,MADHUBANI,21.98,19.48,2.5,0.9,0,2,2013-2014,16-12-2014,2.5,3 / 2013-2014,,2009,2014,15
Bihar,1,77,Shri Mangani Lal Mandal,JHANJHARPUR,MADHUBANI,21.98,19.48,2.5,0.02,0,2,2013-2014,5/2/15,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Bihar,1,78,Shri Om Prakash Yadav,SIWAN,SIWAN,19.48,19.48,0,-0.01,0,2,2013-2014,15-04-2015,2.5,,,2009,2014,15
Bihar,1,79,Shri Lalu Prasad,SARAN,SARAN,11.98,11.97,0.01,3.12,3.12,1,2012-2013,18-03-2013,2.5,,,2009,2014,15
Bihar,1,80,Shri Maheshwar Hazari,SAMASTIPUR(SC),SAMASTIPUR,19.48,19.48,0,0.19,0,2,2013-2014,10/2/14,2.5,,,2009,2014,15
Bihar,1,81,Shri Mahabali Singh,KARAKAT,ROHTAS,19.48,19.48,0,0.86,0,2,2013-2014,3/12/13,2.5,,,2009,2014,15
Bihar,1,82,Shri Nikhil Kumar Choudhary,KATIHAR,KATIHAR,19.48,19.48,0,-1.18,0,2,2013-2014,26-08-2014,2.5,,,2009,2014,15
Bihar,1,83,Shri Pradeep Kumar Singh,ARARIA,ARARIA,19.48,19.48,0,1.09,0,2,2013-2014,5/12/14,2.5,,,2009,2014,15
Bihar,1,84,Shri Ram Sundar Das,HAJIPUR(SC),VAISHALI,21.98,19.48,2.5,0.1,0,2,2013-2014,14-10-2014,2.5,3 / 2013-2014,,2009,2014,15
Bihar,1,85,Shri Rajiv Ranjan Singh Lalan Singh,MUNGER,PATNA,21.98,19.48,2.5,0.72,0,2,2013-2014,13-02-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Bihar,1,86,Shri Radha Mohan Singh,PURVI CHAMPARAN,MOTHIHARI (E.CHAMPARAN),19.48,19.48,0,1.37,0,2,2013-2014,11/7/14,2.5,,,2009,2014,15
Bihar,1,87,Shri Sharad Yadav,MADHEPURA,MADHEPURA,19.48,19.48,0,3.98,0,2,2013-2014,5/12/14,2.5,,,2009,2014,15
Bihar,1,88,Shri Purnmasi Ram,GOPALGANJ (SC),GOPALGANJ,19.48,19.48,0,-1.92,0,2,2013-2014,27-02-2014,2.5,,,2009,2014,15
Bihar,1,89,Shri Ranjan Prasad Yadav,PATALIPUTRA,PATNA,19.48,19.48,0,0.15,0,2,2013-2014,10/7/15,2.5,,,2009,2014,15
Bihar,1,90,Shri Uma Shanker Singh,MAHARAJGANJ,SIWAN,6.98,11.97,-4.99,3.26,0,2,2010-2011,6/12/13,1,,,2009,2014,15
Bihar,1,91,Shri Syed Shahnawaz Hussain,BHAGALPUR,BHAGALPUR,21.98,19.48,2.5,1.36,0,2,2013-2014,13-02-2015,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Bihar,1,92,Shri Shatrughan Prasad Sinha,PATNA SAHIB,PATNA,19.48,19.48,0,1.37,0,2,2013-2014,5/8/15,2.5,,,2009,2014,15
Bihar,1,93,Smt. Rama Devi,SHEOHAR,SITAMARHI,19.48,19.48,0,2.72,0,2,2013-2014,24-02-2014,2.5,,,2009,2014,15
Bihar,1,94,Smt. Aswamedh Devi,UJJARPUR,SAMASTIPUR,19.48,19.48,0,0,0,2,2013-2014,5/2/14,2.5,,,2009,2014,15
Bihar,1,95,Smt. Meena Singh,ARRAH,BHOJPUR(ARRAH),19.48,19.48,0,-0.98,0,2,2013-2014,17-06-2014,2.5,,,2009,2014,15
Bihar,1,96,Smt. Putul Kumari,BANKA,BANKA,19.48,19.48,0,-2.54,0,2,2013-2014,17-02-2015,2.5,,,2009,2014,15
Bihar,1,97,Smt. Meira Kumar,SASARAM(SC),KAIMUR (BHABUA),19.48,19.48,0,2.18,0,2,2013-2014,28-02-2014,2.5,,,2009,2014,15
Bihar,1,98,Shri Sushil Kumar Singh,AURANGABAD,AURANGABAD,21.98,19.48,2.5,4.03,2.5,2,2013-2014,24-07-2015,2.5,3 / 2013-2014,,2009,2014,15
Bihar,1,99,Shri Vishwa Mohan Kumar,SUPAUL,SUPAUL,19.48,19.48,0,2.36,0,2,2013-2014,10/2/14,2.5,,,2009,2014,15
Chandigarh,1,100,Shri Pawan Kumar Bansal,CHANDIGARH,CHANDIGARH,20,20,0,0.04,0,2,2013-2014,25-11-2014,2.5,,,2009,2014,15
Chhattisgarh,1,101,Dr. Charan Das Mahant,KORBA,KORBA,21.59,19.09,2.5,0.76,0,2,2013-2014,14-10-2014,2.5,"3 / 2011-2012,3 / 2013-2014",,2009,2014,15
