Sl No,MP Name,Constituency ,Entitlement,FundReceivedGOI,AmountAvailable,WorksRecommCost,WSCost,ActualExpenditureIncurred,UtilizationOverRelease,UnspentBalance
494, Mukesh Rajput, FARRUKHABAD,17,9.5,11.3104,11.6294,11.0623,10.6707,110.323158,0.6397
495, Kaushal Kishore, MOHANLALGANJ(SC),17,12,12.9023,12.7131,12.7131,10.9701,90.584167,1.9322
496, Mahendra Nath Pandey, CHANDAULI,17,9.5,9.6836,8.7986,8.7986,8.7986,92.616842,0.885
497, Lallu Singh, FAIZABAD,17,9.5,10.4043,10.0263,10.0263,10.1711,105.064211,0.2332
498, Ritesh Pandey, AMBEDKAR NAGAR,17,9.5,9.6854,9.4594,9.4594,7.2573,74.392632,2.4281
499, Sangeeta Azad, LALGANJ (SC),17,12,12.2038,15.7525,11.7705,11.01,89.75,1.1938
500, Swami Sachchidanandhari Sakshi ji Maharaj, UNNAO,24.5,14.5,15.1209,14.7682,14.7682,12.5793,84.753793,2.5416
501, Ramesh Chand Bind, BHADOHI,17,9.5,10.6232,10.0439,9.574,9.229,95.147368,1.3942
502, Ravindra Shyamnarayan alias Ravi Kishan Shukla, GORAKHPUR,17,9.5,9.7406,9.5354,9.5354,7.2058,75.703158,2.5348
503, Pradeep Kumar Chaudhary, KAIRANA,17,9.5,10.5968,10.9457,10.3966,9.9816,103.069474,0.6152
504, Dr. Ram Shankar Katheria, ETAWAH(SC),17,9.5,9.6799,8.6414,8.6414,7.9087,81.670526,1.7712
505, Pushpendra Singh Chandel, HAMIRPUR,24.5,14.5,15.1447,16.22,15.0931,14.1972,97.742759,0.9475
506, Jagdambika Pal, DOMARIYAGANJ,17,7,7.4767,7.8136,6.5125,5.4838,76.34,1.9929
507, Kirti Vardhan Singh, GONDA,22,12,13.7708,12.82,12.82,12.8823,105.3525,0.8885
508, Akshaibar Lal, BAHRAICH(SC),29.5,19.5,20.0749,27.1958,19.6174,17.1794,86.099487,2.8955
509, Arun Kumar Sagar, SHAHJAHANPUR(SC),17,9.5,9.9879,9.9869,9.9869,9.9869,105.125263,0.001
510, Tirath Singh Rawat, GARHWAL,17,7,7.2545,7.8439,6.2743,4.3682,61.688571,2.8863
511, Ramesh Pokhriyal Nishank, HARDWAR,17,7,7.2074,7.3848,7.3848,5.25,73,1.9574
512, Ajay Tamta, ALMORA(SC),17,9.5,9.5879,9.3918,9.3918,7.8476,80.606316,1.7403
513, Mala Rajya Laxmi Shah, TEHRI GARHWAL,17,9.5,10.7843,10.0651,9.9946,9.3587,98.512632,1.4256
514, Ajay Bhatt, NAINITAL UDHAM SINGH NAG.,17,7,7.0647,8.0202,7,7.0471,98.672857,0.0176
515, S.S. Ahluwalia, BARDHAMAN-DURGAPUR,17,2.5,2.8,9.268,2.5502,0.0633,0.532,2.7367
516, Sisir Kumar Adhikari, KANTHI,17,7,7.8952,12.7469,7.3832,6.9299,96.998571,0.9653
517, Sunil Kumar Mondal, BARDHAMAN PURBA(SC),17,7,7.2278,11.8005,7.3009,4.9469,68.67,2.2809
518, Babul Supriyo-Ex, ASANSOL,17,5,5.0352,4.3283,1.7772,0.488,8.76,4.5472
519, Pratima Mondal, JOYNAGAR(SC),17,9.5,10.6326,13.3092,13.3092,9.1131,93.927368,1.5195
520, Shatrughan Sinha, ASANSOL,10,2.5,5.6008,11.6447,4.7175,3.3828,133.312,2.218
521, Choudhury Mohan Jatua, MATHURAPUR(SC),17,9.5,10.0221,11.6662,11.6662,8.7528,90.134737,1.2693
522, (Smt.) Kakoli Ghosh Dastidar, BARASAT,17,9.5,9.6695,10.6795,9.4668,5.5367,56.281053,4.1328
523, Sajda Ahmed, ULUBERIA,17,9.5,10.0303,11.5727,9.9279,9.5925,98.973684,0.4378
524, Sudip Bandyopadhyay, KOLKATA UTTAR,17,7,7.2388,12.3182,10.4326,4.4411,61.444286,2.7977
525, Arjun Singh, BARRACKPUR,17,7,7.3836,14.1487,8.3665,4.4654,61.791429,2.9182
526, Kunar Hembram, JHARGRAM(ST),17,9.5,14.4353,21.4238,13.6428,13.8074,143.341053,0.6279
527, John Barla, ALIPURDUARS(ST),17,7,7.182,6.4757,6.4757,5.6775,80.392857,1.5045
528, Khalilur Rahaman, JANGIPUR,27,7,7.2018,7.1457,7.0991,5.5403,77.147143,1.6615
529, Kalyan Banerjee, SREERAMPUR,17,9.5,10.4611,10.7619,10.2541,7.4808,76.745263,2.9803
530, Debasree Chaudhuri, RAIGANJ,17,12,12.2828,14.2933,11.9921,12.2008,99.673333,0.082
531, Mahua Moitra, KRISHNANAGAR,17,12,12.1567,12.691,12.534,10.3939,84.615833,1.7628
532, Jayanta Kumar Roy, JALPAIGURI(SC),17,5,5.0284,9.1951,4.0293,2.2394,42.788,2.789
533, Abhishek Banerjee, DIAMOND HARBOUR,17,9.5,10.6542,15.727,15.727,9.4653,97.634737,1.1889
534, Saumitra khan, BISHNUPUR(SC),17,7,7.2143,7.1111,6.9486,6.3855,89.221429,0.8288
535, Sukanta Majumdar, BALURGHAT,17,9.5,9.8726,11.0291,8.7008,7.231,74.115789,2.6416
536, Mala Roy, KOLKATA DAKSHIN,17,9.5,9.7069,12.7624,9.7865,6.8733,70.350526,2.8336
537, Mimi Chakraborty, JADAVPUR,17,9.5,10.1359,12.8921,12.8921,9.4536,97.511579,0.6823
538, Raju Bista, DARJEELING,17,7,7.2867,14.1627,6.8311,6.3969,89.384286,0.8898
539, Asit Kumar Mal, BOLPUR(SC),17,9.5,12.6022,14.867,11.7409,11.5551,119.632632,1.0471
540, Adhir Ranjan Chowdhury, BAHARAMPUR,29.5,7,7.7872,7.2384,7.0217,4.8102,66.717143,2.977
541, Jyotirmay Singh Mahato, PURULIA,17,5,5.3218,5.8901,5.1715,2.338,46.006,2.9838
542, Dilip Ghosh, MEDINIPUR,17,7,7.5027,9.1304,7.3365,6.7637,94.624286,0.739
543, Prasun Banerjee, HOWRAH,17,7,7.8537,8.0354,7.713,6.9851,97.787143,0.8686
544, Dibyendu Adhikari, TAMLUK,17,7,7.5542,7.6525,7.0243,6.2146,86.78,1.3396
545, Deepak (Dev) Adhikari, GHATAL,17,7,7.1854,10.7507,7.4205,6.3594,88.848571,0.826
546, Nusrat Jahan Ruhi, BASIRHAT,17,9.5,9.8242,10.0896,8.8454,7.6629,78.662105,2.1613
547, Jagannath Sarkar, RANAGHAT(SC),17,9.5,9.7323,10.3367,9.0983,6.76,69.157895,2.9723
548, Nisith Pramanik, COOCHBEHAR(SC),17,9.5,10.202,15.2345,9.2911,7.5074,77.025263,2.6946
549, Abu Taher Khan, MURSHIDABAD,29.5,7,7.1904,7.0708,6.2432,4.2775,59.107143,2.9129
550, Khagen Murmu, MALDAHA UTTAR,17,7,7.2796,6.9903,6.7377,4.76,66,2.5196
551, Aparupa Poddar, ARAMBAG(SC),17,9.5,10.1555,11.2881,9.9326,7.1563,73.329474,2.9992
552, Subhas Sarkar, BANKURA,17,5,5.2831,5.0826,5.0826,2.8607,55.214,2.4224
553, Abu Hasem Khan Choudhury, MALDAHA DAKSHIN,24.5,9.5,9.908,9.2265,8.7482,7.1721,73.495789,2.7359
554, Shantanu Thakur, BANGAON(SC),17,7,7.6644,13.202,7.0318,4.7257,65.51,2.9387
555, Saugata Roy, DUM DUM,17,9.5,9.699,11.1225,9.0978,7.2783,74.613684,2.4207
556, Locket Chatterjee, HOOGHLY,17,7,7.8585,11.0256,7.6118,4.9208,68.297143,2.9377
557, Satabdi Roy (Banerjee), BIRBHUM,17,9.5,9.7191,9.3884,9.2823,8.8777,91.449474,0.8414
