Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
Bihar,7,70,Shri Ramchandra Paswan,SAMASTIPUR(SC),SAMASTIPUR,25,25,0,0.23,1.31,2,2018-2019,21-12-2018,2.5,,,2014,2019,16
Bihar,7,71,Shri Ram Vilas Paswan,HAJIPUR(SC),VAISHALI,25,25,0,0.58,1.33,2,2018-2019,17-12-2018,2.5,,,2014,2019,16
Bihar,7,72,Shri Sarfaraz Alam,ARARIA,ARARIA,5,5,0,0,0.14,2,2018-2019,30-08-2019,2.5,,,2014,2019,16
Bihar,7,73,Shri Shailesh (Bulo Mandal) Kumar,BHAGALPUR,BHAGALPUR,25,25,0,0.05,1.25,2,2018-2019,30-03-2020,2.5,,,2014,2019,16
Bihar,7,74,Shri Ram Kripal Yadav,PATALIPUTRA,PATNA,25,22.5,2.5,-6.02,1.72,2,2018-2019,17-08-2022,2.5,,"Audit Certificate Pending, Utilisation Certificate Pending.",2014,2019,16
Bihar,7,75,Shri Tariq Anwar,KATIHAR,KATIHAR,25,25,0,0.67,2.51,2,2018-2019,27-05-2022,2.5,,,2014,2019,16
Bihar,7,76,Shri Santosh Kumar,PURNEA,PURNEA,25,25,0,2.36,2.69,2,2018-2019,21-03-2022,2.5,,,2014,2019,16
Bihar,7,77,Shri Satish Chandra Dubey,VALMIKI NAGAR,BETTIAH (W.CHAMPARAN),25,22.5,2.5,-2.85,0.1,2,2018-2019,17-08-2022,2.5,,"Audit Certificate Pending, Utilisation Certificate Pending.",2014,2019,16
Bihar,7,78,Shri Sushil Kumar Singh,AURANGABAD,AURANGABAD,25,22.5,2.5,-0.41,0.9,1,2018-2019,1/7/19,2.5,2 / 2018-2019,"Audit Certificate Pending, Utilisation Certificate Pending.",2014,2019,16
Bihar,7,79,Shri Upendra Kushwaha,KARAKAT,ROHTAS,25,22.5,2.5,-2.03,0.15,1,2018-2019,8/2/19,2.5,2 / 2018-2019,"Audit Certificate Pending, Utilisation Certificate Pending.",2014,2019,16
Bihar,7,80,Shri Shatrughan Prasad Sinha,PATNA SAHIB,PATNA,25,25,0,-0.26,1.52,2,2018-2019,30-03-2021,2.5,,,2014,2019,16
Bihar,7,81,Shri Tasleem Taslimuddin,ARARIA,ARARIA,17.5,17.5,0,4.64,5.52,1,2017-2018,30-03-2021,2.5,,,2014,2019,16
Bihar,7,82,Smt. Rama Devi,SHEOHAR,MOTHIHARI (E.CHAMPARAN),25,25,0,-0.49,0.21,2,2018-2019,4/9/19,2.5,,,2014,2019,16
Bihar,7,83,Smt. Veena Devi,MUNGER,PATNA,25,25,0,0.54,3.02,2,2018-2019,23-03-2020,2.5,,,2014,2019,16
