Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
Tamil Nadu,7,393,Shri K.R.P. Prabakaran,TIRUNELVELI,TIRUNELVELI,25,25,0,0.44,0.63,2,2018-2019,22-02-2022,2.5,,,2014,2019,16
Tamil Nadu,7,394,Shri M. Chandrakasi,CHIDAMBARAM(SC),CUDDALORE,25,25,0,-0.16,0.1,2,2018-2019,9/1/19,2.5,,,2014,2019,16
Tamil Nadu,7,395,Shri R.K. Bharathi Mohan,MAYILADUTHURAI,THANJAVUR,25,25,0,0.65,2.54,2,2018-2019,9/3/22,2.5,,,2014,2019,16
Tamil Nadu,7,396,Shri Pon Radhakrishnan,KANNIYAKUMARI,KANNIYAKUMARI,25,22.5,2.5,-0.44,0.46,1,2018-2019,19-02-2020,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Tamil Nadu,7,397,Shri R. Parthipan,THENI,THENI,25,25,0,1.98,3.1,2,2018-2019,24-03-2022,2.5,,,2014,2019,16
Tamil Nadu,7,398,Shri Nagarajan P.,COIMBATORE,COIMBATORE,25,25,0,0.7,1.2,2,2018-2019,10/10/19,2.5,,,2014,2019,16
Tamil Nadu,7,399,Shri P. Kumar,TIRUCHIRAPPALLI,TIRUCHIRAPPALLI,25,25,0,1.35,1.42,2,2018-2019,21-08-2019,2.5,,,2014,2019,16
Tamil Nadu,7,400,Shri Parasuraman K.,THANJAVUR,THANJAVUR,25,25,0,1.12,1.62,2,2018-2019,15-10-2019,2.5,,,2014,2019,16
Tamil Nadu,7,401,Shri P.R. Sundaram,NAMAKKAL,NAMAKKAL,25,25,0,0.04,0.13,2,2018-2019,26-09-2019,2.5,,,2014,2019,16
Tamil Nadu,7,402,Shri PR. Senthilnathan,SIVAGANGA,SIVAGANGA,25,25,0,0.03,0.05,2,2018-2019,27-06-2019,2.5,,,2014,2019,16
Tamil Nadu,7,403,Shri M. Udhayakumar,DINDIGUL,DINDIGUL,25,25,0,1.47,0.5,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Tamil Nadu,7,404,Shri S. Rajendran,VILUPPURAM(SC),VILLUPURAM,25,25,0,-0.21,2.56,2,2018-2019,24-03-2022,2.5,,,2014,2019,16
Tamil Nadu,7,405,Shri S.Selvakumara Chinnayan,ERODE,ERODE,25,25,0,0.35,0.4,2,2018-2019,11/10/19,2.5,,,2014,2019,16
Tamil Nadu,7,406,Shri R. Gopalakrishnan,MADURAI,MADURAI,25,25,0,0.11,0.65,2,2018-2019,3/9/19,2.5,,,2014,2019,16
Tamil Nadu,7,407,Shri R.P. Marutharajaa,PERAMBALUR,PERAMBALUR,25,25,0,0.01,0.46,2,2018-2019,17-12-2018,2.5,,,2014,2019,16
Tamil Nadu,7,408,Shri T.G. Venkatesh Babu,CHENNAI NORTH,CHENNAI,32.5,30,2.5,2.32,3.49,2,2017-2018,4/9/19,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Tamil Nadu,7,409,Smt. R. Vanaroja,TIRUVANNAMALAI,TIRUVANNAMALAI,25,25,0,0.29,0.4,2,2018-2019,19-02-2020,2.5,,,2014,2019,16
Tamil Nadu,7,410,Shri T. Radhakrishnan,VIRUDHUNAGAR,VIRUDHUNAGAR,25,25,0,0.55,1.12,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
Tamil Nadu,7,411,Smt. K. Maragatham,KANCHEEPURAM(SC),KANCHIPURAM,25,25,0,1.04,2.9,2,2018-2019,31-07-2019,2.5,,,2014,2019,16
Tamil Nadu,7,412,Smt. Vasanthi M.,TENKASI(SC),TIRUNELVELI,25,25,0,0.57,0.63,2,2018-2019,22-02-2022,2.5,,,2014,2019,16
Tamil Nadu,7,413,Smt. V. Sathyabama,TIRUPPUR,ERODE,25,25,0,0.69,0.76,2,2018-2019,15-01-2020,2.5,,,2014,2019,16
Tamil Nadu,7,414,Shri Vijay Kumar S.R.,CHENNAI CENTRAL,CHENNAI,25,25,0,-0.24,0.32,2,2018-2019,10/10/19,2.5,,,2014,2019,16
Tamil Nadu,7,415,Shri V. Panneer Selvam,SALEM,SALEM,25,25,0,0.8,1.2,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Telangana,7,416,Dr. Boora Narsaiah Goud,BHONGIR,Yadadri Bhuvanagiri,25,22.5,2.5,0.58,2.93,1,2018-2019,23-03-2022,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Telangana,7,417,Prof. Seetaram Ajmeera Naik,MAHABUBABAD,MAHABUBABAD,25,22.5,2.5,0.78,5,2,2017-2018,29-01-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Telangana,7,418,Shri A.P. Jithender Reddy,MAHABUBNAGAR,MAHBUBNAGAR,25,22.5,2.5,-2.27,2.5,1,2018-2019,29-03-2022,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Telangana,7,419,Shri Dayakar Pasunoori,WARANGEL(SC),Hanumakonda,20,17.5,2.5,-1.31,0.74,1,2018-2019,29-08-2019,2.5,2 / 2018-2019,,2014,2019,16
Telangana,7,420,Shri Bandaru Dattatreya,SECUNDERABAD,HYDERABAD,25,22.5,2.5,0.15,2.74,1,2018-2019,28-03-2022,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Telangana,7,421,Shri Ch. Malla Reddy,MALKAJGIRI,MEDCHAL MALKAJGIRI,25,17.5,7.5,-0.89,2.39,1,2017-2018,31-05-2019,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Telangana,7,422,Shri Asaduddin Owaisi,HYDERABAD,HYDERABAD,25,22.5,2.5,-1.43,5.18,1,2018-2019,25-05-2022,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Telangana,7,423,Shri Bheemrao Baswanthrao Patil,ZAHIRABAD,SANGAREDDY,25,22.5,2.5,-0.25,5.28,1,2018-2019,18-05-2022,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Telangana,7,424,Shri Nagesh Godam,ADILABAD(ST),ADILABAD,25,22.5,2.5,-1.96,5.02,1,2018-2019,30-06-2022,2.5,2 / 2018-2019,,2014,2019,16
Telangana,7,425,Shri Nandi Yellaiah,NAGARKURNOOL(SC),NAGARKURNOOL,25,25,0,-0.15,2.52,2,2018-2019,6/3/20,2.5,,,2014,2019,16
Telangana,7,426,Shri Konda Vishweshwar Reddy,CHELVELLA,RANGAREDDY,25,22.5,2.5,-0.65,4.92,2,2017-2018,29-03-2022,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Telangana,7,427,Shri Ponguleti Srinivasa Reddy,KHAMMAM,KHAMMAN,25,22.5,2.5,-1.15,5.02,2,2017-2018,7/6/22,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Telangana,7,428,Shri Kotha Prabhakar Reddy,MEDAK,SANGAREDDY,25,22.5,2.5,-1.46,5.07,1,2018-2019,30-06-2022,2.5,2 / 2018-2019,,2014,2019,16
Telangana,7,429,Shri Shri Balka Suman Suman,PEDDAPALLE,PEDDAPALLY,25,12.5,12.5,-7.34,0,1,2016-2017,15-01-2018,2.5,"1 / 2017-2018,1 / 2018-2019,2 / 2018-2019,2 / 2017-2018,2 / 2016-2017","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Telangana,7,430,Shri Srihari Kadiyam,WARANGEL(SC),Hanumakonda,5,5,0,0.34,0,2,2014-2015,26-12-2014,2.5,,,2014,2019,16
Telangana,7,431,Shri Sukender Reddy Gutha,NALGONDA,NALGONDA,25,25,0,0.17,1.27,2,2018-2019,29-10-2019,2.5,,,2014,2019,16
Telangana,7,432,Shri Vinod Kumar Boianapalli,KARIMNAGAR,KARIMNAGAR,25,22.5,2.5,-1.12,5,2,2017-2018,7/6/22,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Telangana,7,433,Smt. Kavitha Kalvakuntla,NIZAMABAD,NIZAMABAD,25,22.5,2.5,-2.25,0.03,2,2017-2018,27-02-2020,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Tripura,7,434,Shri Jitendra Chaudhury,TRIPURA EAST(ST),DHALAI DISTRICT,37.5,20,17.5,2.28,5.11,1,2015-2016,15-01-2019,2.5,"1 / 2016-2017,1 / 2017-2018,1 / 2018-2019,2 / 2018-2019,2 / 2015-2016,2 / 2017-2018,2 / 2016-2017",,2014,2019,16
Tripura,7,435,Shri Sankar Prasad Datta,TRIPURA WEST,WEST TRIPURA,25,22.5,2.5,2.39,5,1,2018-2019,29-05-2019,2.5,2 / 2018-2019,,2014,2019,16
Uttar Pradesh,7,436,Begum Tabassum Hasan,KAIRANA,SHAMLI,5,2.5,2.5,0.24,0.36,1,2018-2019,4/12/18,2.5,2 / 2018-2019,,2014,2019,16
Uttar Pradesh,7,437,Dr. Sakshi Swami Maharaj,UNNAO,UNNAO,25,17.5,7.5,0.34,0.34,1,2017-2018,10/6/19,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Uttar Pradesh,7,438,Dr. Prof. Ram Shankar,AGRA(SC),AGRA,25,25,0,2.4,3.2,2,2018-2019,27-12-2018,2.5,,,2014,2019,16
Uttar Pradesh,7,439, Sadhvi Savitri Bai Phoole,BAHRAICH(SC),BAHRAICH,25,12.5,12.5,0.29,0.29,1,2016-2017,11/7/17,2.5,"1 / 2017-2018,1 / 2018-2019,2 / 2018-2019,2 / 2017-2018,2 / 2016-2017",,2014,2019,16
Uttar Pradesh,7,440,Shri Ashok Kumar Dohrey,ETAWAH(SC),AURAIYA,25,22.5,2.5,5.21,5.21,1,2018-2019,13-06-2022,2.5,2 / 2018-2019,,2014,2019,16
Uttar Pradesh,7,441, Niranjan Jyoti,FATEHPUR,FATEHPUR,25,25,0,-0.18,2.54,2,2018-2019,18-07-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,442, Vijay Kumar Singh,GHAZIABAD,GHAZIABAD,25,25,0,1.6,1.79,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,443,Dr. Krishn Pratap Singh,JAUNPUR,JAUNPUR,25,25,0,2.52,4.82,2,2018-2019,31-10-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,444,Dr. Mahesh Sharma,GAUTAM BUDDHA NAGAR,GAUTAMBUDHNAGAR,25,25,0,2.54,4.99,2,2018-2019,8/7/19,2.5,,,2014,2019,16
Uttar Pradesh,7,445,Dr. Satya Pal Singh,BAGHPAT,BAGHPAT,25,25,0,1.28,1.6,2,2018-2019,29-10-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,446,Dr. Yashwant Singh,NAGINA(SC),BIJNORE,25,25,0,0.01,0.45,2,2018-2019,30-08-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,447,Shri Anshul Verma,HARDOI (SC),HARDOI,25,22.5,2.5,0.03,0.77,1,2018-2019,7/2/19,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Uttar Pradesh,7,448,Dr. Mahendra Nath Pandey,CHANDAULI,CHANDAULI,25,25,0,2.05,3.14,2,2018-2019,7/1/19,2.5,,,2014,2019,16
Uttar Pradesh,7,449,Dr. Murli Manohar Joshi,KANPUR,KANPUR NAGAR,25,25,0,0.34,0,2,2018-2019,23-10-2018,2.5,,,2014,2019,16
Uttar Pradesh,7,450,Dr. Sanjeev Kumar Balyan,MUZAFFARNAGAR,MUZAFFARNAGAR,25,25,0,0.37,0,2,2018-2019,17-09-2018,2.5,,,2014,2019,16
Uttar Pradesh,7,451,Shri Babulal Chaudhary,FATEHPUR SIKRI,AGRA,25,25,0,1.67,2.78,2,2018-2019,2/1/19,2.5,,,2014,2019,16
Uttar Pradesh,7,452, Uma Bharati,JHANSI,JHANSI,25,22.5,2.5,0.83,4.28,1,2018-2019,27-06-2019,2.5,2 / 2018-2019,,2014,2019,16
Uttar Pradesh,7,453,Dr. Nepal Singh,RAMPUR,RAMPUR,25,25,0,0.15,0.15,2,2018-2019,26-07-2018,2.5,,,2014,2019,16
Uttar Pradesh,7,454,Kunwar Pushpendra Singh Chandel,HAMIRPUR,MAHOBA,25,17.5,7.5,2.61,4.43,1,2017-2018,13-02-2019,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018",,2014,2019,16
Uttar Pradesh,7,455,Shri Devendra (Alias) Bhole Singh Singh,AKBARPUR,KANPUR NAGAR,25,25,0,0.25,0,2,2018-2019,23-10-2018,2.5,,,2014,2019,16
Uttar Pradesh,7,456,Shri Dharmendra Yadav,BADAUN,BUDAUN,25,17.5,7.5,3.23,5.42,1,2017-2018,15-01-2019,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018",,2014,2019,16
Uttar Pradesh,7,457,Shri Akshay Yadav,FIROZABAD,FIROZABAD,25,25,0,0.04,1.48,2,2018-2019,20-12-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,458,Shri Brijbhushan Sharan Singh,KAISERGANJ,GONDA,22.5,22.5,0,0.42,0.42,1,2018-2019,13-02-2019,2.5,,Eligible MPR not Received.,2014,2019,16
Uttar Pradesh,7,459,Shri Bhairon Prasad Mishra,BANDA,CHITRAKOOT,25,22.5,2.5,0.26,2.05,1,2018-2019,22-11-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Uttar Pradesh,7,460,Shri Bharat Singh,BALLIA,BALLIA,25,25,0,-0.26,4.28,2,2018-2019,31-07-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,461,Shri Chhote lal,ROBERTSGANJ(SC),SONBHADRA,25,25,0,0.29,0.03,2,2018-2019,15-01-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,462,Shri Feroze Varun Gandhi,SULTANPUR,SULTANPUR,25,25,0,1.24,1.24,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,463,Shri Harish Dwivedi,BASTI,BASTI,25,25,0,-0.15,0.23,2,2018-2019,31-12-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,464,Shri Ajay (Teni) Misra,KHERI,KHERI,25,25,0,0.06,0.16,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,465,Shri Bharatendra Singh,BIJNOR,BIJNORE,25,25,0,0.22,0.68,2,2018-2019,4/9/19,2.5,,,2014,2019,16
Uttar Pradesh,7,466,Shri Daddan Mishra,SHRAWASTI,BALRAMPUR,25,25,0,0.63,0.69,2,2018-2019,30-03-2020,2.5,,,2014,2019,16
Uttar Pradesh,7,467,Shri Bhola Singh,BULANDSHAHR(SC),BULANDSHAHR,25,25,0,0.55,0.6,2,2018-2019,1/7/19,2.5,,,2014,2019,16
Uttar Pradesh,7,468,Shri Dharmendra Kumar,AONLA,BAREILLY,25,22.5,2.5,0.63,2.11,1,2018-2019,12/9/19,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Uttar Pradesh,7,469,Shri Hari Narayan Rajbhar,GHOSI,MAU,25,25,0,2.16,3.88,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,470,Shri Hukum Singh,KAIRANA,SHAMLI,20,20,0,3.37,4.86,2,2017-2018,27-03-2018,2.5,,,2014,2019,16
Uttar Pradesh,7,471,Shri Bhanu Pratap Singh Verma,JALAUN(SC),JALAUN,25,17.5,7.5,-9.7,0.49,1,2017-2018,25-01-2019,2.5,"1 / 2018-2019,2 / 2018-2019,2 / 2017-2018",,2014,2019,16
Uttar Pradesh,7,472,Shri Hari Om Pandey,AMBEDKAR NAGAR,AMBEDKARNAGAR,25,25,0,0.11,0.49,2,2018-2019,13-02-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,473,Shri Kunwar Sarvesh Kumar,MORADABAD,MORADABAD,25,25,0,2.87,4.93,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,474,Shri Kamlesh Paswan,BANSGAON(SC),GORAKHPUR,25,25,0,2.37,2.66,2,2018-2019,25-03-2022,2.5,,,2014,2019,16
Uttar Pradesh,7,475,Shri Jagdambika Pal,DOMARIYAGANJ,SIDDHARTH NAGAR,25,25,0,0.04,0.1,2,2018-2019,19-02-2020,2.5,,,2014,2019,16
Uttar Pradesh,7,476,Shri Kalraj Mishra,DEORIA,DEORIA,25,22.5,2.5,-2.17,-0.31,1,2018-2019,20-11-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Uttar Pradesh,7,477,Shri Mukesh Rajput,FARRUKHABAD,FARRUKHABAD,25,25,0,1.33,2.15,2,2018-2019,25-03-2022,2.5,,,2014,2019,16
Uttar Pradesh,7,478,Shri Narendra Modi,VARANASI,VARANASI,25,22.5,2.5,1.32,1.32,1,2018-2019,19-02-2020,2.5,2 / 2018-2019,"Bank Statement Awaited, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Uttar Pradesh,7,479,Shri Nagendra Pratap Singh Patel,PHULPUR,ALLAHABAD,5,5,0,2.55,4.27,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,480,Shri Kirti Vardhan Singh,GONDA,GONDA,20,20,0,1.02,1.02,2,2017-2018,13-02-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,481,Shri Mulayam Singh Yadav,AZAMGARH,AZAMGARH,25,25,0,2.64,3.58,2,2018-2019,31-07-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,482,Shri Praveen Kumar Nishad,GORAKHPUR,GORAKHPUR,5,5,0,0.13,2.05,2,2018-2019,13-02-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,483,Shri Rajesh Verma,SITAPUR,SITAPUR,25,25,0,0.05,0.05,2,2018-2019,4/12/18,2.5,,,2014,2019,16
Uttar Pradesh,7,484,Shri Rahul Gandhi,AMETHI,AMETHI,25,22.5,2.5,-0.83,0.38,1,2018-2019,17-07-2019,2.5,2 / 2018-2019,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
Uttar Pradesh,7,485,Shri Rajesh Pandey,KUSHI NAGAR,KUSHINAGAR (Padrauna),25,25,0,2.63,3.52,2,2018-2019,15-01-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,486,Shri Kaushal Kishore,MOHANLALGANJ(SC),LUCKNOW,25,25,0,0.06,4.17,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,487,Shri Raghav Lakhanpal,SAHARANPUR,SAHARANPUR,25,25,0,-0.28,0.51,2,2018-2019,14-02-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,488,Shri Rajendra Agrawal,MEERUT,MEERUT,25,25,0,0.73,0.73,2,2018-2019,1/2/19,2.5,,,2014,2019,16
Uttar Pradesh,7,489,Shri Rajveer (Raju Bhaiya) Singh,ETAH,ETAH,25,25,0,-0.26,-0.19,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,490,Shri Kanwar Singh Tanwar,AMROHA,JYOTIBA PHOLENAGAR,25,25,0,0.34,0.98,2,2018-2019,31-07-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,491,Shri Keshav Prasad Maurya,PHULPUR,ALLAHABAD,17.5,17.5,0,3.5,5.3,1,2017-2018,11/9/17,2.5,,,2014,2019,16
Uttar Pradesh,7,492,Shri Kunwar Haribansh Singh,PRATAPGARH,PRATAPGARH,25,25,0,0.2,1.97,2,2018-2019,13-06-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,493,Shri Lallu Singh,FAIZABAD,FAIZABAD,25,25,0,0.74,0.74,2,2018-2019,18-06-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,494,Shri Manoj Kumar Sinha,GHAZIPUR,GHAZIPUR,25,25,0,0.32,1.18,2,2018-2019,4/9/19,2.5,,,2014,2019,16
Uttar Pradesh,7,495,Shri Pankaj Chowdhary,MAHARAJGANJ,MAHRAJGANJ,25,25,0,2.65,4.92,2,2018-2019,13-02-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,496,Shri Sharad Tripathi,SANT KABIR NAGAR,SANT KABIR NAGAR,25,25,0,2.84,4.71,2,2018-2019,13-09-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,497,Shri Rajesh Kumar Diwakar,HATHRAS (SC),HATHRAS,25,25,0,0.64,2.95,2,2018-2019,27-06-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,498,Shri Rajnath Singh,LUCKNOW,LUCKNOW,25,25,0,-0.04,3.87,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,499,Shri Ram Charitra,MACHHLISHAHR(SC),JAUNPUR,25,25,0,0.04,3.94,2,2018-2019,20-11-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,500,Shri Ravindra Kushawaha,SALEMPUR,DEORIA,25,25,0,2.55,4.47,2,2018-2019,12/9/19,2.5,,,2014,2019,16
Uttar Pradesh,7,501,Smt. Dimple Yadav,KANNAUJ,KANNAUJ,25,15,10,0.03,2.73,2,2016-2017,13-02-2019,2.5,"1 / 2017-2018,1 / 2018-2019,2 / 2018-2019,2 / 2017-2018","Bank Statement Awaited, Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2014,2019,16
Uttar Pradesh,7,502,Smt. Maneka Sanjay Gandhi,PILIBHIT,PILIBHIT,25,25,0,-1.65,0.49,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,503,Shri Virendra Singh,BHADOHI,Bhadohi,25,25,0,2.21,3.44,2,2018-2019,29-01-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,504,Smt. Anupriya Patel,MIRZAPUR,MIRZAPUR,25,25,0,0.1,0.1,2,2018-2019,19-03-2020,2.5,,,2014,2019,16
Uttar Pradesh,7,505,Shri Santosh Kumar Gangwar,BAREILLY,BAREILLY,25,22.5,2.5,-2.22,0.19,1,2018-2019,4/9/19,2.5,2 / 2018-2019,,2014,2019,16
Uttar Pradesh,7,506,Shri Satish Kumar Gautam,ALIGARH,ALIGARH,25,25,0,0.03,0.07,2,2018-2019,2/1/19,2.5,,,2014,2019,16
Uttar Pradesh,7,507,Shri Shyama Charan Gupta,ALLAHABAD,ALLAHABAD,25,25,0,2.87,4.92,2,2018-2019,12/9/19,2.5,,,2014,2019,16
Uttar Pradesh,7,508,Smt. Rekha Arun Verma,DHAURAHRA,KHERI,25,25,0,0.14,0.41,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,509,Shri Tej Pratap Singh Yadav,MAINPURI,MAINPURI,25,25,0,-0.33,1.03,2,2018-2019,23-10-2018,2.5,,,2014,2019,16
Uttar Pradesh,7,510,Smt. Neelam Sonker,LALGANJ (SC),AZAMGARH,25,25,0,2.58,4.98,2,2018-2019,21-12-2018,2.5,,,2014,2019,16
Uttar Pradesh,7,511,Smt. Sonia Gandhi,RAE BARELI,RAE BARELI,25,22.5,2.5,-2.27,0.6,1,2018-2019,21-08-2019,2.5,2 / 2018-2019,,2014,2019,16
Uttar Pradesh,7,512,Smt. Krishna Raj,SHAHJAHANPUR(SC),SHAHJAHANPUR,25,25,0,3.17,4.41,2,2018-2019,25-01-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,513,Smt. Anju Bala,MISRIKH(SC),HARDOI,25,25,0,0,2.61,2,2018-2019,7/2/19,2.5,,,2014,2019,16
Uttar Pradesh,7,514,Shri Satya Pal Singh,SAMBHAL,BHIMNAGAR(Sambhal),25,25,0,3.14,4.71,2,2018-2019,1/2/19,2.5,,,2014,2019,16
Uttar Pradesh,7,515,Shri Yogi Adityanath,GORAKHPUR,GORAKHPUR,20,20,0,0.2,2.57,2,2017-2018,18-05-2022,2.5,,,2014,2019,16
Uttar Pradesh,7,516,Shri Vinod Kumar Sonkar,KAUSHAMBI(SC),KAUSHAMBI,25,25,0,0,1.57,2,2018-2019,4/9/19,2.5,,,2014,2019,16
Uttar Pradesh,7,517,Smt. Hema malini,MATHURA,MATHURA,25,25,0,-0.38,2.08,2,2018-2019,13-06-2019,2.5,,,2014,2019,16
Uttar Pradesh,7,518,Smt. Priyanka Singh Rawat,BARABANKI(SC),BARABANKI,25,22.5,2.5,2.29,3.17,1,2018-2019,22-03-2022,2.5,2 / 2018-2019,Utilisation Certificate Pending.,2014,2019,16
Uttarakhand,7,519,Dr. Ramesh Pokhriyal Nishank,HARDWAR,HARIDWAR,25,25,0,2.01,2.99,2,2018-2019,29-10-2019,2.5,,,2014,2019,16
Uttarakhand,7,520,Shri Ajay Tamta,ALMORA(SC),ALMORA,25,15,10,-9.8,2.08,2,2016-2017,12/9/19,2.5,"1 / 2017-2018,1 / 2018-2019,2 / 2018-2019,2 / 2017-2018","Bank Statement Awaited, Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2014,2019,16
Uttarakhand,7,521, Bhuwan Chandra Khanduri AVSM,GARHWAL,PAURI GARHWAL,25,12.5,12.5,3.8,5.46,1,2016-2017,16-10-2018,2.5,"1 / 2017-2018,1 / 2018-2019,2 / 2018-2019,2 / 2017-2018,2 / 2016-2017",,2014,2019,16
Uttarakhand,7,522,Shri Bhagat Singh Koshyari,NAINITAL UDHAM SINGH NAG.,UDHAMSINGH NAGAR,25,22.5,2.5,-2.5,0.48,1,2018-2019,27-06-2019,2.5,2 / 2018-2019,,2014,2019,16
Uttarakhand,7,523,Smt. Mala Rajya Laxmi Shah,TEHRI GARHWAL,TEHRI GARHWAL,25,22.5,2.5,-2.31,0.33,1,2018-2019,10/10/19,2.5,2 / 2018-2019,"Eligible MPR not Received, Utilisation Certificate Pending.",2014,2019,16
West Bengal,7,524,Km. Arpita Ghosh,BALURGHAT,SOUTH DINAJPUR,25,25,0,0.21,0.21,2,2018-2019,24-08-2018,2.5,,,2014,2019,16
West Bengal,7,525,Prof. Saugata Roy,DUM DUM,NORTH TWENTY FOUR PARGANAS,25,25,0,0.86,1.77,2,2018-2019,17-09-2018,2.5,,,2014,2019,16
West Bengal,7,526,Dr. (Smt.) Ratna De(Nag),HOOGHLY,HOOGHLY,25,25,0,-0.74,0.02,2,2018-2019,20-09-2018,2.5,,,2014,2019,16
